ST Customer,Dispensary Name,Street Address,City,Zip Code,County,BLS Region,License Number
Curaleaf,Kush21 - Jacksonville,1112 Veterans Dr,Jacksonville,62650,Morgan,West Central Illinois Nonmetropolitan,284000213
Curaleaf,Mission - Norridge,4113 N Harlem Ave,Norridge,60706,Cook,Chicago-Naperville-Elgin,284000147
Curaleaf,Natures Treatment - Milan ,973 Tech Dr,Milan,61264,Rock Island,Davenport-Moline-Rock Island,280000025
Curaleaf,NuEra - Harvey,16950 Halsted St.,Harvey,60426,Cook,Chicago-Naperville-Elgin,284000202
Curaleaf,Rise - Charleston,909 Lincoln Ave.,Charleston,61920,Coles,East Central IL Nonmetropolitan,284000130
Curaleaf,SHARE - Springfield,3600 S 6th Street Rd,Springfield,62703,Sangamon,Springfield,284000179
Curaleaf,Sunnyside - Chi-River North,436 N. Clark St.,Chicago,60654,Cook,Chicago-Naperville-Elgin,284000053
Curaleaf,Windy City Cannabis - Carpentersville,125 S Western Ave,Carpentersville,60110,Kane,Chicago-Naperville-Elgin,284000111
Curaleaf,Windy City Cannabis - Highwood,260 Green Bay Rd.,Highwood,60040,Lake,Chicago-Naperville-Elgin,284000100
Curaleaf,Zen Leaf - St. Charles,3691 E. Main St.,Saint Charles,60174,Kane,Chicago-Naperville-Elgin,280000020
KANHA,Cookies - Bloomington,1006 Jc Pkwy,Bloomington,61705,McLean,Bloomington,284000321
KANHA,Cookies - Peoria Heights,1209 E War Memorial Dr,Peoria Heights,61616,Peoria,Peoria,284000319
KANHA,Dutchess - Markham,3063 W 159th St.,Markham,60428,Cook,Chicago-Naperville-Elgin,284000159
KANHA,Kush21 - Jacksonville,1112 Veterans Dr,Jacksonville,62650,Morgan,West Central Illinois Nonmetropolitan,284000213
Revolution,AuraLight - Aurora,1350 N Orchard Rd,Aurora,60506,Kane,Chicago-Naperville-Elgin,284000190
Revolution,Consume - Antioch,471 Main St,Antioch,60002,Lake,Chicago-Naperville-Elgin,284000294
Revolution,Consume - Chicago,6428 N Milwaukee Ave,Chicago,60631,Cook,Chicago-Naperville-Elgin,280000047
Revolution,Consume - Oakbrook Terrace,1S130 Summit Ave.,Oakbrook Terrace,60181,DuPage,Chicago-Naperville-Elgin,284000070
Revolution,Consume - St. Charles,584 S Randall Rd.,St Charles,60174,Kane,Chicago-Naperville-Elgin,284000295
Revolution,Mission - Calumet City,1330 Torrence Ave.,Calumet City,60409,Cook,Chicago-Naperville-Elgin,284000075
Revolution,Mission - Chicago,8554 S Commercial Ave,Chicago,60617,Cook,Chicago-Naperville-Elgin,280000053
Revolution,Revolution - Mt Prospect,2015 E Euclid Ave,Mt Prospect,60056,Cook,Chicago-Naperville-Elgin,280000015
Timeless Select,Zen Leaf - Highland Park,2030 Skokie Valley Rd,Highland Park,60035,Lake,Chicago-Naperville-Elgin,280000032
Timeless Select,Zen Leaf - Naperville,"1516 N. Naper Blvd, Spc 100",Naperville,60563,DuPage,Chicago-Naperville-Elgin,284000078
Timeless Select,Zen Leaf - Pilsen,1301 S Western Ave,Chicago,60608,Cook,Chicago-Naperville-Elgin,280000051
Timeless Select,Zen Leaf - St. Charles,3691 E. Main St.,Saint Charles,60174,Kane,Chicago-Naperville-Elgin,280000020
Curaleaf,Altius - Carol Stream,506 S Schmale Rd,Carol Stream,60188,DuPage,Chicago-Naperville-Elgin,284000274
Curaleaf,Aroma Hill - Kankakee,2255 E Court St,Kankakee,60901,Kankakee,Kankakee,284000219
Curaleaf,AuraLight - Aurora,1350 N Orchard Rd,Aurora,60506,Kane,Chicago-Naperville-Elgin,284000190
Curaleaf,Bridge City - East Dubuque,122 Sinsinawa Ave,East Dubuque,61025,Jo Daviess,Northwest Illinois nonmetropolitan area,284000307
Curaleaf,Bud and Ritas - Chicago,3425 W Belmont Ave,Chicago,60618,Cook,Chicago-Naperville-Elgin,284000276
Curaleaf,Bud and Ritas - Niles,5960 W Touhy Ave,Niles,60714,Cook,Chicago-Naperville-Elgin,284000280
Curaleaf,Bud and Ritas - Wadsworth,41509 N US Highway 41,Wadsworth,60083,Lake,Chicago-Naperville-Elgin,284000277
Curaleaf,Cookies - Bloomington,1006 Jc Pkwy,Bloomington,61705,McLean,Bloomington,284000321
Curaleaf,Hatch - Wheeling,1500 E Lake Cook Rd,Wheeling,60090,Lake,Chicago-Naperville-Elgin,284000105
Curaleaf,High Haven - Elgin,15 Clock Tower Plz,Elgin,60120,Kane,Chicago-Naperville-Elgin,284000329
Curaleaf,NuEra - Aurora,1415 Corporate Blvd.,Aurora,60502,Cook,Chicago-Naperville-Elgin,284000072
Curaleaf,OKAY Cannabis - Evanston,100 Chicago Ave,Evanston,60202,Cook,Chicago-Naperville-Elgin,284000143
Curaleaf,Rise - Canton,3104 N Main St,Canton,61520,Fulton,West Central Illinois Nonmetropolitan,280000003
Curaleaf,Rise - Quincy,2703 Broadway St,Quincy,62301,Adams,West Central Illinois Nonmetropolitan,284000047
Curaleaf,Seven Point - Danville,380 Eastgate Dr.,Danville,61834,Vermilion,Danville,284000316
Curaleaf,Spark'd - Winthrop Harbor,935 Sheridan Rd,Winthrop Harbor,60096,Lake,Chicago-Naperville-Elgin,284000272
Curaleaf,Stash - Peru,1320 38th St,Peru,61354,LaSalle,Northwest Illinois nonmetropolitan area,284000170
Curaleaf,Sunnyside - Champaign,1704 S Neil St Ste C,Champaign,61820,Champaign,Champaign-Urbana,280000035
Curaleaf,Sunnyside - Danville,369 Lynch Dr.,Danville,61834,Vermilion,Danville,284000056
Curaleaf,Windy City Cannabis - Homewood,1137 W. 175th St,Homewood,60430,Cook,Chicago-Naperville-Elgin,280000019
Curaleaf,Windy City Cannabis - Litchfield,719 W Union Ave,Litchfield,62056,Montgomery,West Central Illinois Nonmetropolitan,280000052
Curaleaf,Windy City Cannabis - Macomb,518 W Jackson St,Macomb,61455,McDonough,West Central Illinois Nonmetropolitan,284000112
Curaleaf,Windy City Cannabis - Posen,2535 Veterans Dr,Posen,60469,Cook,Chicago-Naperville-Elgin,280000026
Drecisco Farms,Beyond Hello - Bloomington,118 Keaton Place,Bloomington,61704,McLean,Bloomington,284000085
Drecisco Farms,Beyond Hello - Mississippi Ave,1401 Mississippi Ave. Ste. 17,Sauget,62201,St. Clair,"St. Louis, MO",284000079
Drecisco Farms,Beyond/Hello - Goose Lake,2021 Goose Lake Rd,Sauget,62206,St. Clair,"St. Louis, MO",280000043
Drecisco Farms,Beyond/Hello - Normal,501 W Northtown Rd,Normal,61761,McLean,Bloomington,280000045
KANHA,Ascend - Adams St,628 E Adams St,Springfield,62701,Sangamon,Springfield,280000029
KANHA,Ascend - Fairview Heights,114 Commerce Ln,Fairview Heights,62208,St. Clair,"St. Louis, MO",284000104
KANHA,Ascend - Horizon Dr.,3201 Horizon Dr.,Springfield,62703,Sangamon,Springfield,284000069
KANHA,Dutchess Cannabis - Morton Grove,6761 Dempster St,Morton Grove,60053,Cook,Chicago-Naperville-Elgin,284000106
KANHA,Green Temple - Troy,904 Edwardsville Rd.,Troy,62294,Madison,"St. Louis, MO",284000168
KANHA,Greenlight - Park City,3331 Belvidere Rd Suites B C,Park City,60085,Lake,Chicago-Naperville-Elgin,284000288
KANHA,Namaste Wellness - Hodgkins,6119 East Ave A,Hodgkins,60525,Cook,Chicago-Naperville-Elgin,284000279
Revolution,Dutchess - Lynwood,20513 Torrence Ave,Lynwood,60411,Will,Chicago-Naperville-Elgin,284000158
Revolution,Dutchess Cannabis - Oak Park,1132 Lake St,Oak Park,60301,Cook,Chicago-Naperville-Elgin,28000041
Revolution,Mission - Norridge,4113 N Harlem Ave,Norridge,60706,Cook,Chicago-Naperville-Elgin,284000147
Revolution,Namaste Wellness - Hodgkins,6119 East Ave A,Hodgkins,60525,Cook,Chicago-Naperville-Elgin,284000279
Curaleaf,Ascend - Chicago Ridge,9820 Ridgeland Ave,Chicago Ridge,60415,Cook,Chicago-Naperville-Elgin,284000125
Curaleaf,Ascend - Collinsville,1014 Eastport Plaza Dr,Collinsville,62234,Madison,"St. Louis, MO",280000022
Curaleaf,Ascend - Fairview Heights,114 Commerce Ln,Fairview Heights,62208,St. Clair,"St. Louis, MO",284000104
Curaleaf,Ascend - Horizon Dr.,3201 Horizon Dr.,Springfield,62703,Sangamon,Springfield,284000069
Curaleaf,Ascend - Springfield,628 E Adams St,Springfield,62701,Sangamon,Springfield,280000029
Curaleaf,Ascend by Homecoming - Tinley Pk,16200 Harlem Ave.,Tinley Park,60477,Cook,Chicago-Naperville-Elgin,284000235
Curaleaf,Ascend Cannabis Outlet by InLabs - Northlake,39 W North Ave.,Northlake,60164,Cook,Chicago-Naperville-Elgin,284000197
Curaleaf,Ascend Moca - Logan Square,2367 N Milwaukee Ave.,Chicago,60647,Cook,Chicago-Naperville-Elgin,280000028
Curaleaf,Ascend Moca - River North,216 W. Ohio St.,Chicago,60654,Cook,Chicago-Naperville-Elgin,284000052
Curaleaf,Bud and Ritas - Forsyth,1401 Hickory Point Dr.,Macon,62535,Macon,Decatur,284000218
Curaleaf,Cloudhaven - South Beloit,1322 Gardner St.,South Beloit,61080,Winnebago,Rockford,284000166
Curaleaf,Dutchess - Lynwood,20513 Torrence Ave,Lynwood,60411,Will,Chicago-Naperville-Elgin,284000158
Curaleaf,Dutchess Cannabis - Morton Grove,6761 Dempster St,Morton Grove,60053,Cook,Chicago-Naperville-Elgin,284000106
Curaleaf,Dutchess Cannabis - N. Riverside,8380 W Cermak Rd,North Riverside,60546,Cook,Chicago-Naperville-Elgin,284000334
Curaleaf,High Haven - Darien,8131 Cass Ave,Darien,60561,DuPage,Chicago-Naperville-Elgin,284000328
Curaleaf,Midway by Ascend - Chicago,5648 S Archer Ave,Chicago,60638,Cook,Chicago-Naperville-Elgin,280000033
Curaleaf,Nuera - Chicago,1308 W North Ave,Chicago,60642,Cook,Chicago-Naperville-Elgin,280000035
Curaleaf,Sunnyside - Buffalo Grove,830 Milwaukee Ave,Buffalo Grove,60089,Lake,Chicago-Naperville-Elgin,280000016
Curaleaf,Sunnyside - Rockford,2696 McFarland Rd,Rockford,61107,Winnebago,Rockford,280000013
Curaleaf,Sunnyside - Schaumburg,1739 E. Golf Rd.,Schaumburg,60173,Cook,Chicago-Naperville-Elgin,284000061
Curaleaf,Sunnyside - South Beloit,7000 First Ranger Dr.,South Beloit,61080,Winnebago,Rockford,284000059
Curaleaf,Sunnyside - Wrigleyville,3524 N. Clark St.,Chicago,60657,Cook,Chicago-Naperville-Elgin,280000050
Curaleaf,The Dispensary - Champaign,1826 Glenn Park Dr,Champaign,61821,Champaign,Champaign-Urbana,284000216
Curaleaf,Trinity Compassionate - Glen,2301 W. Glen Ave.,Peoria,61614,Peoria,Peoria,284000060
Curaleaf,Trinity Compassionate - University,3125 N University St Ste B,Peoria,61604,Peoria,Peoria,280000014
KANHA,Altius - Carol Stream,506 S Schmale Rd,Carol Stream,60188,DuPage,Chicago-Naperville-Elgin,284000274
KANHA,Market 96 - Chicago,529 S Wells St Ste 100,Chicago,60607,Cook,Chicago-Naperville-Elgin,284000237
KANHA,Market 96 - Owego,1144 Douglas Rd.,Oswego,60543,Kendall,Chicago-Naperville-Elgin,284000238
KANHA,Natures Treatment - Milan ,973 Tech Dr,Milan,61264,Rock Island,Davenport-Moline-Rock Island,280000025
KANHA,Nirvana - Chicago,2301 W Lawrence Ave,Chicago,60625,Cook,Chicago-Naperville-Elgin,284000252
KANHA,Planet 13 - Waukegan,4000 Northpoint Blvd,Waukegan,60085,Lake,Chicago-Naperville-Elgin,284000162
KANHA,Nirvana - Mt. Carmel,825 Chestnut St,Mount Carmel,62863,Wabash,South Illinois Nonmetropolitan,284000255
KANHA,Thrive - Metropolis,1551 E. 5th St.,Metropolis,62960,Massac,South Illinois Nonmetropolitan,284000122
Revolution,Aroma Hill - Peoria,1210 W Glen Ave,Peoria,61614,Peoria,Peoria,284000265
Revolution,High Haven - Darien,8131 Cass Ave,Darien,60561,DuPage,Chicago-Naperville-Elgin,284000328
Revolution,Nirvana - Palatine,333 East Lake Cook Rd,Palatine,60074,Cook,Chicago-Naperville-Elgin,284000250
Timeless Select,Curaleaf - Justice,8340 S Roberts Rd,Justice,60458,Cook,Chicago-Naperville-Elgin,280000021
Timeless Select,Curaleaf - New Lenox,705 E Lincoln Hwy.,New Lenox,60451,Will,Chicago-Naperville-Elgin,280000017
Timeless Select,Curaleaf - Westmont,11 E. Ogden Ave.,Westmont,60559,DuPage,Chicago-Naperville-Elgin,284000117
Curaleaf,Beyond/Hello - Goose Lake,2021 Goose Lake Rd,Sauget,62206,St. Clair,"St. Louis, MO",280000043
Curaleaf,Beyond/Hello - Normal,501 W Northtown Rd,Normal,61761,McLean,Bloomington,280000045
Curaleaf,Cannabist - Villa Park,133 Roosevelt Rd.,Villa Park,60181,DuPage,Chicago-Naperville-Elgin,284000065
Curaleaf,Dutchess Cannabis - Oak Park,1132 Lake St,Oak Park,60301,Cook,Chicago-Naperville-Elgin,28000041
Curaleaf,Hatch - Addison,1433 W Fullerton Ave Ste C,Addison,60101,DuPage,Chicago-Naperville-Elgin,280000038
Curaleaf,Mystic Greenz - Belleville,360 S Green Mount Rd,Belleville,62221,St. Clair,"St. Louis, MO",284000330
Curaleaf,Mystic Greenz - Decatur,5405 Indus. Dr.,Decatur,62522,Macon,Decatur,284000312
Curaleaf,Mystic Greenz - Lincoln,1120 Woodlawn Rd,Lincoln,62656,Logan,West Central Illinois Nonmetropolitan,284000212
Curaleaf,Noxx - East Peoria,300 S Main St,East Peoria,61611,Tazewell,Peoria,284000209
Curaleaf,NuEra - Dekalb,818 W Lincoln Hwy Ste 7,DeKalb,60115,DeKalb,Chicago-Naperville-Elgin,284000201
Curaleaf,NuEra - East Dubuque,20170 US Highway 20 W,East Dubuque,61025,Jo Daviess,Northwest Illinois nonmetropolitan area,284000211
Drecisco Farms,Consume - Carbondale,201 E. Main Street,Carbondale,62901,Jackson,Carbondale-Marion,284000058
Drecisco Farms,Consume - Marion,8195 Express Dr,Marion,62959,Marion,East Central IL Nonmetropolitan,280000001
Drecisco Farms,Rise - Canton,3104 N Main St,Canton,61520,Fulton,West Central Illinois Nonmetropolitan,280000003
Drecisco Farms,Rise - Charleston,909 Lincoln Ave.,Charleston,61920,Coles,East Central IL Nonmetropolitan,284000130
Drecisco Farms,Rise - Effingham,1011 Ford Ave Ste C,Effingham,62401,Effingham,East Central IL Nonmetropolitan,280000042
Drecisco Farms,Rise - Lake in the Hills,270 N Randall Rd,Lake In The Hills,60156,McHenry,Chicago-Naperville-Elgin,284000110
Drecisco Farms,Aroma Hill - Kankakee,2255 E Court St,Kankakee,60901,Kankakee,Kankakee,284000219
Drecisco Farms,Be. - Oak Forest,5940 159th St,Oak Forest,60452,Cook,Chicago-Naperville-Elgin,284000246
Drecisco Farms,Consume - Chicago,6428 N Milwaukee Ave,Chicago,60631,Cook,Chicago-Naperville-Elgin,280000047
Drecisco Farms,Rise - Joliet  Colorado Ave,2903 Colorado Ave.,Joliet,60431,Will,Chicago-Naperville-Elgin,284000044
Drecisco Farms,Sway - Chicago,3340 N Halsted St.,Chicago,60657,Cook,Chicago-Naperville-Elgin,284000200
Drecisco Farms,Windy City Cannabis - Homewood,1137 W. 175th St,Homewood,60430,Cook,Chicago-Naperville-Elgin,280000019
Goddess Growers,Bridge City - East Dubuque,122 Sinsinawa Ave,East Dubuque,61025,Jo Daviess,Northwest Illinois nonmetropolitan area,284000307
KANHA,Bridge City - East Dubuque,122 Sinsinawa Ave,East Dubuque,61025,Jo Daviess,Northwest Illinois nonmetropolitan area,284000307
KANHA,Verilife - Ottawa,4100 Columbus St,Ottawa,61350,LaSalle,Northwest Illinois nonmetropolitan area,280000008
KANHA,Verilife - Rosemont,5540 Park Pl,Rosemont,60018,Cook,Chicago-Naperville-Elgin,284000096
KANHA,Verilife - Schaumburg,150 N Barrington Rd,Schaumburg,60194,Cook,Chicago-Naperville-Elgin,284000108
KANHA,Emerald - Island Lake,660 E State Rd.,Island Lake,60042,Lake,Chicago-Naperville-Elgin,284000256
KANHA,Planet 13 - Waukegan,4000 Northpoint Blvd,Waukegan,60085,Lake,Chicago-Naperville-Elgin,284000162
KANHA,SHARE - Springfield,3600 S 6th Street Rd,Springfield,62703,Sangamon,Springfield,284000179
KANHA,Sunnyside - Chi-River North,436 N. Clark St.,Chicago,60654,Cook,Chicago-Naperville-Elgin,284000053
KANHA,Sunnyside - Danville,369 Lynch Dr.,Danville,61834,Vermilion,Danville,284000056
KANHA,Sunnyside - Naperville,2740 W 75th St,Naperville,60564,DuPage,Chicago-Naperville-Elgin,284000080
KANHA,Sunnyside - Schaumburg,1739 E. Golf Rd.,Schaumburg,60173,Cook,Chicago-Naperville-Elgin,284000061
KANHA,Verilife - Arlington Heights,1816 S Arlington Heights Rd,Arlington Heights,60005,Cook,Chicago-Naperville-Elgin,280000007
KANHA,Verilife - Chicago River North,60 W Superior St,Chicago,60654,Cook,Chicago-Naperville-Elgin,284000099
Revolution,NuEra - East Peoria,504 Riverside Dr,East Peoria,61611,Tazewell,Peoria,280000036
Revolution,NuEra - Pekin,3249 Court St.,Pekin,61554,Tazewell,Peoria,284000116
Revolution,Revolution - Maryville,2533 Vandalia St,Collinsville,62234,Madison,"St. Louis, MO",284000167
Revolution,Revolution - Moline,4301 44th Ave,Moline,61265,Rock Island,Davenport-Moline-Rock Island,284000174
Revolution,Terrace - Alton,1400 E Broadway,Alton,62002,Madison,"St. Louis, MO",284000258
Revolution,The Dispensary - Fulton,1801 16th Ave,Fulton,61252,Fulton,West Central Illinois Nonmetropolitan,280000039
Revolution,Zen Leaf - St. Charles,3691 E. Main St.,Saint Charles,60174,Kane,Chicago-Naperville-Elgin,280000020
Six Labs,Consume - Carbondale,201 E. Main Street,Carbondale,62901,Jackson,Carbondale-Marion,284000058
Six Labs,Consume - Marion,8195 Express Dr,Marion,62959,Marion,East Central IL Nonmetropolitan,280000001
Curaleaf,Cannabist - Chicago,4758 N Milwaukee Ave,Chicago,60630,Cook,Chicago-Naperville-Elgin,280000044
Curaleaf,Curaleaf - Deerfield,677 Lake Cook Rd,Deerfield,60015,Lake,Chicago-Naperville-Elgin,280000018
Curaleaf,Curaleaf - Justice,8340 S Roberts Rd,Justice,60458,Cook,Chicago-Naperville-Elgin,280000021
Curaleaf,Curaleaf - Lincoln Park,923 W. Weed St.,Chicago,60642,Cook,Chicago-Naperville-Elgin,284000089
Curaleaf,Curaleaf - Northbrook,755 Skokie Blvd.,Northbrook,60602,Cook,Chicago-Naperville-Elgin,284000090
Curaleaf,Curaleaf - Skokie,10000 Skokie Blvd,Skokie,60077,Cook,Chicago-Naperville-Elgin,284000093
Curaleaf,Guaranteed - Chicago,620 N Fairbanks Ct,Chicago,60611,Cook,Chicago-Naperville-Elgin,284000191
Curaleaf,Stash - Orland Hills,9545 167th St.,Orland Hills,60487,Cook,Chicago-Naperville-Elgin,284000281
Curaleaf,Stash - Peru,1320 38th St,Peru,61354,LaSalle,Northwest Illinois nonmetropolitan area,284000170
Drecisco Farms,Aroma Hill - Belvidere,1874 Crystal Parkway,Belvidere,61008,Boone,Rockford,284000165
Drecisco Farms,Aroma Hill - Hoffman Estates,1237 North Barrington Road,Hoffman Estates,60169,Cook,Chicago-Naperville-Elgin,284000287
Drecisco Farms,Be. - Blue Island,12720 Western Ave,Blue Island,60406,Cook,Chicago-Naperville-Elgin,284000245
Drecisco Farms,Bud and Ritas - Niles,5960 W Touhy Ave,Niles,60714,Cook,Chicago-Naperville-Elgin,284000280
Drecisco Farms,Consume - Antioch,471 Main St,Antioch,60002,Lake,Chicago-Naperville-Elgin,284000294
Drecisco Farms,Consume - St. Charles,584 S Randall Rd.,St Charles,60174,Kane,Chicago-Naperville-Elgin,284000295
Drecisco Farms,Green Temple - Troy,904 Edwardsville Rd.,Troy,62294,Madison,"St. Louis, MO",284000168
Drecisco Farms,Parkway - Fox Lake,107 Towne Centre Ln 31,Fox lake,60020,Lake,Chicago-Naperville-Elgin,284000269
Drecisco Farms,Rise - Niles,9621 N Milwaukee Ave.,Niles,60714,Cook,Chicago-Naperville-Elgin,284000055
Drecisco Farms,Snap Canna - Pontiac,1910 W Reynolds St Unit A,Pontiac,61764,Livingston,West Central Illinois Nonmetropolitan,284000225
Drecisco Farms,Windy City Cannabis - Highwood,260 Green Bay Rd.,Highwood,60040,Lake,Chicago-Naperville-Elgin,284000100
KANHA,Cloud9 - Champaign,505 W Town Center Blvd.,Champaign,61822,Champaign,Champaign-Urbana,284000259
KANHA,Cloud9 - East Peoria,406 W Camp St.,East Peoria,61611,Tazewell,Peoria,284000303
KANHA,Parkway - Fox Lake,107 Towne Centre Ln 31,Fox lake,60020,Lake,Chicago-Naperville-Elgin,284000269
KANHA,Snap Canna - Pontiac,1910 W Reynolds St Unit A,Pontiac,61764,Livingston,West Central Illinois Nonmetropolitan,284000225
KANHA,Sunnyside - South Beloit,7000 First Ranger Dr.,South Beloit,61080,Winnebago,Rockford,284000059
KANHA,Verilife - Galena,115 Perry St.,Galena,61036,Jo Daviess,Northwest Illinois nonmetropolitan area,284000097
KANHA,Verilife - North Aurora,2080 West Orchard Rd,North Aurora,60542,Kane,Chicago-Naperville-Elgin,280000006
KANHA,Verilife - Romeoville,412 N Weber Rd,Romeoville,60446,Will,Chicago-Naperville-Elgin,280000030
